29/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Tyne and Fear Roller Derby,167,Manchester Roller Derby,250,T1,-83,,,,,,,,,,,,,,,,,
29/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Tyne and Fear Roller Derby,131,Lincolnshire Rolling Thunder,218,T1,-87,,,,,,,,,,,,,,,,,
30/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Lincolnshire Rolling Thunder,264,Panam Squad,91,T1,173,,,,,,,,,,,,,,,,,
30/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Manchester Roller Derby,152,Lincolnshire Rolling Thunder,126,T1,26,,,,,,,,,,,,,,,,,
30/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Roller Derby Toulouse,162,Manchester Roller Derby,151,T1,11,,,,,,,,,,,,,,,,,
30/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Tyne and Fear Roller Derby,240,Panam Squad,72,T1,168,,,,,,,,,,,,,,,,,
30/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Tyne and Fear Roller Derby,109,Roller Derby Toulouse,196,T1,-87,,,,,,,,,,,,,,,,,
6/08/17,,Capital City Hooligans,101,Chicago Bruise Brothers,249,T1,-148,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Dakota Men's Roller Derby,75,Minnesota Men's Roller Derby,237,T1,-162,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Denver Ground Control,276,Dakota Men's Roller Derby,65,T1,211,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Denver Ground Control,172,Montreal Men's Roller Derby,138,T1,34,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Montreal Men's Roller Derby,156,Minnesota Men's Roller Derby,132,T1,24,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Philadelphia Hooligans,204,Race City Rebels,132,T1,72,,,,,,,,,,,,,,,,,
12/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Race City Rebels,149,Austin Anarchy,146,T1,3,,,,,,,,,,,,,,,,,
12/08/17,,Tyne and Fear Roller Derby,92,Southern Discomfort,317,T1,-225,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
13/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Denver Ground Control,122,Race City Rebels,199,T1,-77,,,,,,,,,,,,,,,,,
13/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Montreal Men's Roller Derby,122,Austin Anarchy,226,T1,-104,,,,,,,,,,,,,,,,,
13/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Montreal Men's Roller Derby,205,Dakota Men's Roller Derby,101,T1,104,,,,,,,,,,,,,,,,,
13/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Philadelphia Hooligans,143,Austin Anarchy,125,T1,18,,,,,,,,,,,,,,,,,
13/08/17,Salish Sea Slam - 2017 MRDA North American Qualifiers,Race City Rebels,213,Minnesota Men's Roller Derby,132,T1,81,,,,,,,,,,,,,,,,,
19/08/17,,Nottingham Roller Derby,114,Wirral Roller Derby,167,T1,-53,,,,,,,,,,,,,,,,,
16/09/17,,Detroit Men's Roller Derby,230,Capital City Hooligans,123,T1,107,,,,,,,,,,,,,,,,,
24/09/17,,Granite City Brawlers,209,Nottingham Roller Derby,190,T1,19,,,,,,,,,,,,,,,,,
7/10/17,,Varsity Derby League,152,Sydney City SMASH,147,T1,5,,,,,,,,,,,,,,,,,
13/10/17,Cymru Clash 2017 MRDA Championships,Vancouver Murder,174,Manchester Roller Derby,200,T1,-26,,,,,,,,,,,,,,,,,
13/10/17,Cymru Clash 2017 MRDA Championships,Roller Derby Toulouse,249,Philadelphia Hooligans,125,T1,124,,,,,,,,,,,,,,,,,
13/10/17,Cymru Clash 2017 MRDA Championships,Puget Sound Outcast Derby,205,Austin Anarchy,162,T1,43,,,,,,,,,,,,,,,,,
13/10/17,Cymru Clash 2017 MRDA Championships,San Diego Aftershocks,207,New York Shock Exchange,81,T1,126,,,,,,,,,,,,,,,,,
